strain	date	country	continent
MF173411.1	2016-11-14	India	Asia
MF352141.1	2015-05-13	Brazil	South America
MF384325.1	2016-05-17	Haiti	North America
MF434516.1	2016-08-05	Nicaragua	North America
MF434517.1	2016-08-19	Nicaragua	North America
MF434518.1	2016-08-26	Nicaragua	North America
MF434519.1	2016-07-22	Nicaragua	North America
MF434520.1	2016-02-07	Nicaragua	North America
MF434521.1	2016-07-19	Nicaragua	North America
MF434522.1	2016-08-29	Nicaragua	North America
MF438286.1	2017-02-12	Cuba	North America
MF593625.1	2016-09-14	China	Asia
MF629796.1	2011-04-05	Nigeria	Africa
MF629797.1	2013-07-05	Nigeria	Africa
MF629798.1	2013-07-10	Senegal	Africa
MF629799.1	2000-11-11	Senegal	Africa
MF664436.1	2016-08-25	Russia	Europe
MF692778.1	2016-10	Taiwan	Asia
MF783073.1	2016-05-10	Haiti	North America
MF794971.1	2016-05-01	Ecuador	South America
MF801377.1	2016-02-22	El Salvador	North America
MF801378.1	2016-07-21	Guatemala	North America
MF801379.1	2016-06-18	Guatemala	North America
MF801380.1	2016-04-11	Guatemala	North America
MF801381.1	2016	Honduras	North America
MF801382.1	2016	Honduras	North America
MF801383.1	2016-06-03	Honduras	North America
MF801384.1	2016-02-03	Honduras	North America
MF801385.1	2016-02-12	Honduras	North America
MF801386.1	2016-02-24	Honduras	North America
MF801387.1	2016-03-29	Honduras	North America
MF801388.1	2016-04-25	Honduras	North America
MF801389.1	2016-05-10	Honduras	North America
MF801390.1	2016	Mexico	North America
MF801391.1	2016-07-06	Mexico	North America
MF801392.1	2016-08-13	Mexico	North America
MF801393.1	2016-04-22	Mexico	North America
MF801394.1	2016-05-03	Mexico	North America
MF801395.1	2016-05-09	Mexico	North America
MF801396.1	2016-05-17	Mexico	North America
MF801397.1	2016-05-20	Mexico	North America
MF801398.1	2016-05-20	Mexico	North America
MF801399.1	2016-05-20	Mexico	North America
MF801400.1	2016-05-20	Mexico	North America
MF801401.1	2016-05-23	Mexico	North America
MF801402.1	2016-05-26	Mexico	North America
MF801403.1	2016-05-25	Mexico	North America
MF801404.1	2016-07-08	Mexico	North America
MF801405.1	2016-07-09	Mexico	North America
MF801406.1	2016-07-07	Mexico	North America
MF801407.1	2016-07-05	Mexico	North America
MF801408.1	2016-07-05	Mexico	North America
MF801409.1	2016-07	Mexico	North America
MF801410.1	2016-07-05	Mexico	North America
MF801411.1	2016-07-05	Mexico	North America
MF801412.1	2016-07-07	Mexico	North America
MF801413.1	2016-07-07	Mexico	North America
MF801414.1	2016-07-05	Mexico	North America
MF801415.1	2016-07-05	Mexico	North America
MF801416.1	2016-07	Mexico	North America
MF801417.1	2016-07-01	Mexico	North America
MF801418.1	2016-06-30	Mexico	North America
MF801419.1	2016-07-01	Mexico	North America
MF801420.1	2016-07-04	Mexico	North America
MF801421.1	2016-07-01	Mexico	North America
MF801422.1	2016-07-01	Mexico	North America
MF801423.1	2016-06-30	Mexico	North America
MF801424.1	2016-07-01	Mexico	North America
MF801425.1	2016-06-24	Nicaragua	North America
MF801426.1	2016-07-25	Nicaragua	North America
MF926508.1	2016-10-13	Nigeria	Africa
MF964216.1	2016-12-01	China	Asia
MF988734.1	2017-08	Singapore	Asia
MF996804.1	2017-08-07	Thailand	Asia
MG012226.1	2015-11	Colombia	South America
MG012227.1	2015-12	Colombia	South America
MG012228.1	2016-03	Colombia	South America
MG012229.1	2016-05	Colombia	South America
MG012230.1	2016-03	Colombia	South America
MG216928.1	2015-07-11	Fiji	Oceania
MG216929.1	2015-07-11	Fiji	Oceania
MG216930.1	2016-05-26	Fiji	Oceania
MG216931.1	2016-07-22	Fiji	Oceania
MG216932.1	2016-08-03	Fiji	Oceania
MG266396.1	2016-12-27	Hungary	Europe
MG279550.1	2016-02-15	Brazil	South America
MG287146.1	2017-06-29	India	Asia
MG366906.1	2006-08-11	Thailand	Asia
MG366907.1	2015-06-27	Thailand	Asia
MG494697.1	2016-11-24	Mexico	North America
MG548660.1	2016-11-30	Thailand	Asia
MG548661.1	2016-11-30	Thailand	Asia
MG645981.1	2006-10-28	Thailand	Asia
MG674718.1	2016-04-16	China	Asia
MG674719.1	2016-04-16	China	Asia
MG742364.1	2017-10-26	Portugal	Europe
MG751804.1	2016-09	China	Asia
MG751805.1	2016-09	China	Asia
MG770183.1	2017-01-26	Brazil	South America
MG770184.1	2017-03-03	Brazil	South America
MG770185.1	2017-03-03	Brazil	South America
MG770186.1	2017-03-03	Brazil	South America
MG807646.1	2016-11-11	Thailand	Asia
MG807647.1	2017-09-07	Thailand	Asia
MG808108.1	2016-10	Malaysia	Asia
MG808109.1	2016-10	Malaysia	Asia
MG808110.1	2016-12	Malaysia	Asia
MG808111.1	2016-12	Malaysia	Asia
MG808112.1	2016-08	Malaysia	Asia
MG808113.1	2016-12	Malaysia	Asia
MG808114.1	2016-12	Malaysia	Asia
MG808115.1	2016-12	Malaysia	Asia
MG808116.1	2016-12	Malaysia	Asia
MG808117.1	2016-12	Malaysia	Asia
MG808118.1	2016-12	Malaysia	Asia
MG808119.1	2016-12	Malaysia	Asia
MG808120.1	2016-12	Malaysia	Asia
MG808121.1	2016-12	Malaysia	Asia
MG808122.1	2016-12	Malaysia	Asia
MG808123.1	2016-12	Malaysia	Asia
MG808124.1	2016-12	Malaysia	Asia
MG808125.1	2017-04	Malaysia	Asia
MG808126.1	2017-02	Malaysia	Asia
MG808127.1	2017-02	Malaysia	Asia
MG808128.1	2017-04	Malaysia	Asia
MG808129.1	2016-12	Malaysia	Asia
MG808130.1	2016-12	Malaysia	Asia
MG808131.1	2016-12	Malaysia	Asia
MG808132.1	2016-12	Malaysia	Asia
MG808133.1	2016-12	Malaysia	Asia
MG808134.1	2016-12	Malaysia	Asia
MG808135.1	2016-12	Malaysia	Asia
MG808136.1	2016-12	Malaysia	Asia
MG808137.1	2016-12	Malaysia	Asia
MG827392.1	2013-10-25	French Polynesia	Oceania
MG877675.1	2016-01	Colombia	South America
MG912101.1	2017-01	Mexico	North America
MG912102.1	2017-02	Mexico	North America
MG967272.1	2014-02-28	Cook Islands	Oceania
MG967273.1	2014-02-28	Cook Islands	Oceania
MG967274.1	2014-03-03	Cook Islands	Oceania
MG967275.1	2014-03-03	Cook Islands	Oceania
MG967276.1	2015	Samoa	Oceania
MG967277.1	2015-10-07	Samoa	Oceania
MG967278.1	2015-03-16	Solomon Islands	Oceania
MG982560.1	2014-04-16	Chile	South America
MG982561.1	2014-05-07	Chile	South America
MG982562.1	2014-05-15	Chile	South America
MG982563.1	2014-05-02	Chile	South America
MG982564.1	2014-05-10	Chile	South America
MG982565.1	2014-05-14	Chile	South America
MG982566.1	2014-04-29	Chile	South America
MG982567.1	2014-04-16	Chile	South America
MG982568.1	2014-05-07	Chile	South America
MG982569.1	2014-05-15	Chile	South America
MG982570.1	2014-05-02	Chile	South America
MG982571.1	2014-05-10	Chile	South America
MG982572.1	2014-05-14	Chile	South America
MG982573.1	2014-04-29	Chile	South America
MH013290.1	2017-10-01	Thailand	Asia
MH027651.1	2017	Brazil	South America
MH055376.1	2016	China	Asia
MH063259.1	2017-07-26	Cuba	North America
MH063260.1	2017-08-08	Cuba	North America
MH063261.1	2017-09-24	Cuba	North America
MH063262.1	2017-07-17	Cuba	North America
MH063263.1	2017-08-05	Cuba	North America
MH063264.1	2017-08-13	Cuba	North America
MH063265.1	2017-07-17	Cuba	North America
MH119185.1	2016-12-01	Thailand	Asia
MH130042.1	2016-09-12	Malaysia	Asia
MH130043.1	2016-09-25	Malaysia	Asia
MH130044.1	2016-12-13	Malaysia	Asia
MH157195.1	2016-08-24	Mexico	North America
MH157196.1	2016-08-29	Mexico	North America
MH157197.1	2016-07-13	Mexico	North America
MH157198.1	2016-09-28	Mexico	North America
MH157199.1	2016-08-08	Mexico	North America
MH157200.1	2016-10-21	Mexico	North America
MH157201.1	2016-06-28	Mexico	North America
MH157202.1	2016-08-10	Mexico	North America
MH157203.1	2016-06-27	Mexico	North America
MH157204.1	2016-10-25	Mexico	North America
MH157205.1	2016-08-15	Mexico	North America
MH157206.1	2016-09-23	Mexico	North America
MH157207.1	2016-08-29	Mexico	North America
MH157208.1	2016-08-22	Mexico	North America
MH157209.1	2016-07-05	Mexico	North America
MH157210.1	2016-08-25	Mexico	North America
MH157211.1	2016-07-29	Mexico	North America
MH157212.1	2016-08-19	Mexico	North America
MH157213.1	2016-06-23	Mexico	North America
MH157214.1	2016-06-24	Mexico	North America
MH158236.1	2010	Cambodia	Asia
MH158237.1	2015	Puerto Rico	North America
MH249062.1	2016	Brazil	South America
MH249063.1	2016	Brazil	South America
MH249064.1	2016	Brazil	South America
MH249065.1	2016	Brazil	South America
MH249066.1	2016	Brazil	South America
MH249067.1	2016	Brazil	South America
MH252914.1	2017	Brazil	South America
MH252915.1	2017-05	Brazil	South America
MH252918.1	2017-05	Brazil	South America
MH252919.1	2017-05	Brazil	South America
MH252920.1	2017-06	Brazil	South America
MH255601.1	2016-09-01	Singapore	Asia
MH255606.1	2016-09-19	Grenada	North America
MH306200.1	2015-08	Brazil	South America
MH306201.1	2015-10	Brazil	South America
MH306202.1	2015-09	Brazil	South America
MH306203.1	2016-02	Brazil	South America
MH306204.1	2015	Brazil	South America
MH306209.1	2017-04-25	Thailand	Asia
MH306210.1	2017-04-25	Thailand	Asia
MH306211.1	2017-04-25	Thailand	Asia
MH306212.1	2017-04-25	Thailand	Asia
MH306213.1	2017-04-25	Thailand	Asia
MH306214.1	2017-04-25	Thailand	Asia
MH306215.1	2017-04-25	Thailand	Asia
MH306216.1	2017-04-25	Thailand	Asia
MH379777.1	2016-11-10	Brazil	South America
MH379778.1	2016-11-10	Brazil	South America
MH379779.1	2016-11-10	Brazil	South America
MH379780.1	2016-11-10	Brazil	South America
MH379781.1	2016-11-10	Brazil	South America
MH379782.1	2016-11-10	Brazil	South America
MH379783.1	2016-11-10	Brazil	South America
MH379784.1	2016-11-10	Brazil	South America
MH430250.1	2016-04-01	Viet Nam	Asia
MH430251.1	2016-10-20	Viet Nam	Asia
MH430252.1	2016-10-21	Viet Nam	Asia
MH430253.1	2016-10-22	Viet Nam	Asia
MH513598.1	2015-12-09	Brazil	South America
MH513599.1	2015-12-11	Brazil	South America
MH513600.1	2015-12-11	Brazil	South America
MH544701.2	2016-01-17	Colombia	South America
MH675619.1	2016-05	Puerto Rico	North America
