strain	date	country	continent
PV335305.1	2024-08-08	Brazil	South America
PV335306.1	2024-07-30	Brazil	South America
PV335307.1	2024-08-15	Brazil	South America
PV335308.1	2024-08-02	Brazil	South America
PV335309.1	2024-08-11	Brazil	South America
PV335310.1	2024-08-12	Brazil	South America
PV335311.1	2024-07-25	Brazil	South America
PV419641.1	2024-02-22	Peru	South America
PV419642.1	2024-02-22	Peru	South America
PV419643.1	2024-02-22	Peru	South America
PV419644.1	2024-02-22	Peru	South America
PV419645.1	2024-02-22	Peru	South America
PV419646.1	2024-02-22	Peru	South America
PV419647.1	2024-01-25	Peru	South America
PV419648.1	2024-01-25	Peru	South America
PV419649.1	2024-01-25	Peru	South America
PV419650.1	2024-02-02	Peru	South America
PV419651.1	2024-02-02	Peru	South America
PV419652.1	2024-02-02	Peru	South America
PV419653.1	2024-02-06	Peru	South America
PV419654.1	2024-02-06	Peru	South America
PV419655.1	2024-02-06	Peru	South America
PV419656.1	2024-07-31	Peru	South America
PV419657.1	2024-07-31	Peru	South America
PV419658.1	2024-07-31	Peru	South America
PV419659.1	2024-07-10	Peru	South America
PV419660.1	2024-07-10	Peru	South America
PV419661.1	2024-07-10	Peru	South America
PV446629.1	2024-11-13	Portugal	Europe
PV459758.1	2024-02-05	Brazil	South America
PV459759.1	2024-02-05	Brazil	South America
PV459760.1	2024-02-05	Brazil	South America
PV459761.1	2024-02-06	Brazil	South America
PV459762.1	2024-02-06	Brazil	South America
PV459763.1	2024-02-06	Brazil	South America
PV459764.1	2024-02-01	Brazil	South America
PV459765.1	2024-02-01	Brazil	South America
PV459766.1	2024-02-01	Brazil	South America
PV459767.1	2024-02-05	Brazil	South America
PV459768.1	2024-02-05	Brazil	South America
PV459769.1	2024-02-05	Brazil	South America
PV459770.1	2024-02-05	Brazil	South America
PV459771.1	2024-02-05	Brazil	South America
PV459772.1	2024-02-05	Brazil	South America
PV459773.1	2024-02-05	Brazil	South America
PV459774.1	2024-02-05	Brazil	South America
PV459775.1	2024-02-05	Brazil	South America
PV459776.1	2024-02-05	Brazil	South America
PV459777.1	2024-02-05	Brazil	South America
PV459778.1	2024-02-05	Brazil	South America
PV459779.1	2024-02-06	Brazil	South America
PV459780.1	2024-02-06	Brazil	South America
PV459781.1	2024-02-06	Brazil	South America
PV459782.1	2024-02-06	Brazil	South America
PV459783.1	2024-02-06	Brazil	South America
PV459784.1	2024-02-06	Brazil	South America
PV459785.1	2024-02-06	Brazil	South America
PV459786.1	2024-02-06	Brazil	South America
PV459787.1	2024-02-06	Brazil	South America
PV459788.1	2024-02-06	Brazil	South America
